user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
unforgetable.couples,6925140078026228741,6937382736894119174,The way he laughed at the end? I guess he doesn't allow her to be happy.. #haileybieber #justinbieber #jailey #omg #sad,1615235291,9,https://www.tiktok.com/@unforgetable.couples/video/6937382736894119174?lang=en,2600000,23000,24700,35900000
platinumfishing,6933776052490486790,6955958227330665734,tag your fishing brothers 😎 #viral #TikTokGGT #fypシ #fypsounds #fish #bass #bassboat #bassboatcrash,1619560234,7,https://www.tiktok.com/@platinumfishing/video/6955958227330665734?lang=en,23300,5816,207,317200
aquariumpacific,6713226389825192966,6958544321272384773,#Maythe4th 🌌🐙💫 #octopus,1620162357,20,https://www.tiktok.com/@aquariumpacific/video/6958544321272384773?lang=en,8219,159,129,337600
cornishware,6826260626165466117,6954085765743643909,#cornishware #fyp #foryou #oddlysatisfying  #cornwall #madeinuk  #sosatisfying #stripes #howitsmade #ceramicart,1619124267,12,https://www.tiktok.com/@cornishware/video/6954085765743643909?lang=en,206600,1141,1002,6900000
apachegoddess1122,6822320021440955398,6959177701806624006,#fy #fyp #foryourpage #washing #foryou #thankful #happy #camping #foryoutiktok #motivation #foryour #foryoupage,1620309828,59,https://www.tiktok.com/@apachegoddess1122/video/6959177701806624006?lang=en,82500,61,441,385100
04trac,6780323084777456645,6959698467371355398,Smh #fyp,1620431077,12,https://www.tiktok.com/@04trac/video/6959698467371355398?lang=en,34600,191,317,565800
ayehoodofficial,6829116230483592197,6948126743890775302,#duet with @yafavhomiejr ￼ we made it to Nashville Tennessee radio🥰🥰 #fyp #foryou #viraltiktokr #AYEHOOD #AYESBURBS ￼,1617736825,28,https://www.tiktok.com/@ayehoodofficial/video/6948126743890775302?lang=en,117000,7693,1480,1100000
maqueive_augusto,6807619045563663362,6958676546877918470,,1620193149,7,https://www.tiktok.com/@maqueive_augusto/video/6958676546877918470?lang=en,447800,18900,5204,7400000
jamezilla007,6913238526041523206,6956221824652807429,Fence it 4 less,1619621608,59,https://www.tiktok.com/@jamezilla007/video/6956221824652807429?lang=en,32300,510,2079,2000000
homemadegift_shinnyring,6956788100559684614,6959173220431973637,Isn’t it gorgeous? #handmade #jewelry #ring #couplegiftideas #diamondring #foryoupage,1620308785,44,https://www.tiktok.com/@homemadegift_shinnyring/video/6959173220431973637?lang=en,404500,929,744,2300000
annaxsitar,6678709915819262982,6959239869671525637,"i’m here to tell you it gets better. and everything will be okay. no matter what you’re going through, i promise. 💛",1620324301,11,https://www.tiktok.com/@annaxsitar/video/6959239869671525637?lang=en,612600,3997,1675,3900000
osirismakeup22,6706159835353793542,6955596103261752581,Yo no hago ejercicio un poco de humor como están #viral  #paratii #fyp #fouryou #makeup,1619475921,57,https://www.tiktok.com/@osirismakeup22/video/6955596103261752581?lang=en,22000,173,109,150600
nfl,6634193109470593029,6950449928195951878,happy retirement to the legend #julianedelman !!!,1618277735,10,https://www.tiktok.com/@nfl/video/6950449928195951878?lang=en,263600,2919,4631,1900000
catebaltierra92,6722813099541300229,6957669144208690438,Answer to @kyleex2,1619958590,11,https://www.tiktok.com/@catebaltierra92/video/6957669144208690438?lang=en,396600,494,5797,4300000
itisbussinjanelle,6909206995325322245,6950855930086984965,🐸 #fyp #foryou #foryoupage #TheChallengeAllStars #viral #goviral #fallingforyou #iloveyou #ifykykykyk #imissu,1618372267,8,https://www.tiktok.com/@itisbussinjanelle/video/6950855930086984965?lang=en,415800,36800,24600,4000000
laetitiaky,6732564356988978181,6950747985802267910,Hahaha its been a while !! Hair dance here we are again ! #shemakeitclap,1618347130,15,https://www.tiktok.com/@laetitiaky/video/6950747985802267910?lang=en,472900,11600,6937,4300000
finessegawds,6709291702845539334,6948483465931164934,Live from the set of Jurassic World 3,1617819880,29,https://www.tiktok.com/@finessegawds/video/6948483465931164934?lang=en,22000,901,949,133800
mortythemisfit,6902660102034277382,6930327402224667910,Morty’s legs are feeling much better today so he’s back on patrol. 🐶😎❤️ #mortythemisfit #teammorty #walkthisway #happyfeet #dogsoftiktok #chihuahua,1613592601,27,https://www.tiktok.com/@mortythemisfit/video/6930327402224667910?lang=en,176000,30200,5173,1500000
fatcapsprays,6699395556307059717,6949192000193236229,I bet you didn’t know who this was until the end! 😋 #pokemon #pokemongo #streetart #fanart,1617984849,30,https://www.tiktok.com/@fatcapsprays/video/6949192000193236229?lang=en,1100000,10100,3589,8200000
yxge0,6955750135285007366,6956096201179581702,#funny #laugh #tik_tok #fypシ #thankyou #foryou #joke #mouse,1619592367,10,https://www.tiktok.com/@yxge0/video/6956096201179581702?lang=en,53100,20300,2595,1700000
nakisha6.20,6807400956423947269,6951941684531842310,Bestie weekend ft fishbowl drinks 🐠😜 definitely added some more Malibu 😅 #fishbowldrink #fishbowl #fyp #foryou #malibudrinks,1618625061,40,https://www.tiktok.com/@nakisha6.20/video/6951941684531842310?lang=en,20300,5905,108,238500
beatrisdavila0,6870083758349091846,6952049669799185670,,1618650208,10,https://www.tiktok.com/@beatrisdavila0/video/6952049669799185670?lang=en,1796,130,18,179400
louflores_,6736757753761350661,6943759151503805701,Shimmer body Lava DiY #fyp#foryou#diy#dollartree,1616719916,14,https://www.tiktok.com/@louflores_/video/6943759151503805701?lang=en,79100,2384,268,1100000
eilensouthtexas,6545859768546759695,6959626089102675205,#melomeresco #parami #toxicas #borrachas #paralachela #fyp #diadelasmadres,1620414225,13,https://www.tiktok.com/@eilensouthtexas/video/6959626089102675205?lang=en,5611,1449,124,113400
austinmahone,89951240310145024,6954518625906658566,What language is this sound in? 🤔@anokhinalz,1619225052,13,https://www.tiktok.com/@austinmahone/video/6954518625906658566?lang=en,203200,261,1902,1400000
